Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Cd300ld3	29.528776527453584	-3.635628191813065	0.5075467664284269	2.7563819402074887e-13	3.2585918434494812e-12	TRUE
Crybg1	157.8950559104726	-3.6530780991566156	0.1547388947433775	1.0780375699812548e-123	3.289471395969829e-121	TRUE
Gimap9	43.36390564391881	-3.6578851574681117	0.24761748257448674	7.180382007394649e-50	3.3223980681756384e-48	TRUE
Vmn2r96	2.2019588206482172	-3.663964283896897	0.5476220764860904	4.491595276955716e-12	4.7348375982100874e-11	TRUE
Orm1	0.3654093020708242	-3.6703354147550895	1.2019612219976212	0.003698540461140449	0.009715337786476425	TRUE
Sash3	243.9626747552701	-3.6767560431622828	0.17814659864328566	4.088082683179593e-95	5.429935705070305e-93	TRUE
Uba7	559.2320229346992	-3.6778762487406036	0.217869389683847	2.4615241390396942e-64	1.6204435877409999e-62	TRUE
Cd36	195.65831779764588	-3.6827560110222053	0.4271354173400299	2.515385484714577e-18	4.302833654913268e-17	TRUE
Ifi203	528.3150264396221	-3.6911436518162613	0.43870974274919733	1.6214400598332402e-17	2.6358615227526685e-16	TRUE
Dennd2d	68.88277182789062	-3.691453416332928	0.35202273618093544	3.595848366995468e-26	8.546763802816595e-25	TRUE
Car13	75.06302825273453	-3.692457914910896	0.341688228749506	1.1664882654388171e-27	2.926589448178721e-26	TRUE
Il12rb1	162.48980114007054	-3.693988200428346	0.2845781781141311	6.220255995708706e-39	2.1674904380108423e-37	TRUE
Il21r	252.1004802165253	-3.6972399579124944	0.14545465573964655	5.432743262755318e-143	2.8528219272794205e-140	TRUE
Lat	105.9854642377107	-3.699886925689789	0.22839874249465514	2.0300964458934237e-59	1.1723677173471486e-57	TRUE
Anpep	497.75561563357763	-3.70256404360379	0.3783193015635743	5.0535723134488076e-23	1.0575501653167199e-21	TRUE
Capg	301.3567621448784	-3.7076944559465566	0.2789967423560028	1.028981878320224e-40	3.777952977637506e-39	TRUE
Slamf1	30.037307758348206	-3.71298933788927	0.20355878822224852	5.798777853384097e-75	4.867524309643603e-73	TRUE
Trim21	328.4495222501231	-3.7133632704173345	0.21388338123240166	6.052962014775034e-68	4.297983719925166e-66	TRUE
Stat4	64.13415093094008	-3.718214342003012	0.334562527001598	3.910369661441058e-29	1.0243172500619384e-27	TRUE
Gm5431	79.84903708683566	-3.7186556921106604	0.1810479103991211	3.2973706171371135e-94	4.254550201997488e-92	TRUE
Dyrk4	22.528492531283455	-3.727970879292071	0.2229919111422537	1.7517763598329646e-63	1.1079862802528947e-61	TRUE
Lox	70.50461147781853	-3.7325297748813306	0.44233329355110645	1.2351925401962513e-17	2.0269365957580925e-16	TRUE
Klrb1f	7.171356735104178	-3.733408699653495	0.6721647529146286	9.099624664865824e-9	6.510441220933786e-8	TRUE
Il1a	51.26495968078068	-3.734270499152949	0.18999221482325665	1.813960778099213e-86	1.969193960071165e-84	TRUE
Klhl6	159.60376972894753	-3.7345766924963213	0.1668260715104185	1.667666353744117e-111	3.6207602180329003e-109	TRUE
Apof	5.715561758756218	-3.7439300201209074	0.8056555419759436	1.063069760120412e-6	5.672049901587642e-6	TRUE
Pvrig	9.957478463077718	-3.7463063772110434	0.3231511997868175	9.946068944585857e-32	2.814313743969281e-30	TRUE
Ighv1-82	0.4681134977000752	-3.750462391115859	1.186599716299934	0.0020629510055648393	0.005773811640355608	TRUE
Rab20	48.16225447239114	-3.754591537547976	0.2795771557455688	1.4343855171950278e-41	5.4161245783049705e-40	TRUE
Tnfsf10	310.69289880237454	-3.7575482523214063	0.17710380712200066	2.3932857394705476e-100	3.6762171426697256e-98	TRUE
