Symbol	SRR2182228	SRR2182229	SRR2182230	SRR2182231	SRR2182232	SRR2182233	SRR2182234	SRR2182235	SRR2182285	SRR2182286	SRR2182287	SRR2182288	SRR2182289	SRR2182290	SRR2182291	SRR2182292	SRR2182293	SRR2182294	SRR2182295	SRR2182296	SRR2182297	SRR2182298	SRR2182299	SRR2182300	SRR2182301	SRR2182302	SRR2182303	SRR2182304	SRR2182305	SRR2182306	SRR2182307	SRR2182308	SRR2182309	SRR2182310	SRR2182311	SRR2182312	SRR2182313	SRR2182314	SRR2182315	SRR2182316	SRR2182317	SRR2182318	SRR2182319	SRR2182320	SRR2182321	SRR2182322	SRR2182323	SRR2182324	SRR2182325	SRR2182326	SRR2182327	SRR2182328	SRR2182329	SRR2182330	SRR2182331
Scamp1	14969	13679	9708	14586	13157	14446	14508	12679	13737	4922	14990	11582	5311	26568	10970	12225	8526	5453	20014	9924	17019	28144	11834	14943	19096	10289	15836	24730	13866	30915	11670	14196	6250	5670	14200	11948	5755	6228	9884	19688	8300	16169	8502	16268	9444	37465	6521	9890	8712	4808	10508	12479	6703	35160	5513
Cdip1	13158	13516	10279	12390	12578	14422	14846	11360	14066	6205	9775	9625	5488	21571	7783	10635	8663	6866	17856	7111	11722	23222	7570	10707	14865	7210	10175	20029	10994	21620	7535	14736	7764	6251	15422	11962	6564	6168	11833	19750	9236	18827	9798	18716	10682	41228	7566	24455	10274	5479	11835	14256	8664	40985	6564
Rpl41	9491	9382	10746	10908	14272	13059	16034	10229	12954	6472	8898	8887	4769	18760	6657	8682	7371	12424	13380	6336	11238	26507	7213	10012	15876	7110	10295	17776	11335	23059	6855	12378	6519	5790	15177	7525	5384	5923	11150	18100	7713	17080	9504	11008	7331	23414	4733	47720	6066	3151	7693	8156	4920	23904	4164
Gap43	13610	6130	11669	9619	6680	10823	15982	5036	17202	8370	10481	12144	6692	27888	10572	13541	10416	14844	23991	8201	15063	35713	10880	13005	20404	10315	14538	23181	14752	31048	9875	17356	10059	9015	19491	13596	8213	8558	15885	23064	11899	26122	14410	10919	7757	25845	5213	19443	4846	3221	6658	8009	3906	23740	4485
Cs	17098	15498	14852	17785	17841	19214	21844	16665	14900	6475	11468	10298	5868	24362	8679	10994	9473	6188	19554	6982	12197	23518	7497	11334	14678	7167	10717	19897	10794	21787	7640	15527	7861	6025	15867	11828	6393	6153	11898	20417	9286	18629	10191	18884	10329	39839	7045	16145	9661	5338	11095	14469	8054	39445	6298
Gpd2	11227	10931	9176	10597	9665	13587	13295	9181	3438	2295	6290	2687	1409	7784	3787	6145	3443	1324	11946	2385	3415	6131	2721	3042	3510	2177	3748	7383	2713	6550	2801	9677	4001	3766	8581	4200	3011	2685	6270	8753	6266	8249	5032	11729	8958	26853	4443	5260	8525	3551	10908	7567	8170	50209	6775
Pitpna	12059	10967	11552	12107	13792	14454	15479	13145	15542	7487	10886	10816	6241	23737	8319	11326	9691	8054	18096	5419	9895	23357	6835	10129	11850	6030	8708	16684	9050	20387	6219	16432	9127	6740	16618	12702	6983	7296	12282	19827	10342	21613	10547	18110	10340	40341	7420	27278	10045	4983	11138	14244	7754	39168	6336
Rab14	12948	12750	10428	14369	15625	15428	15552	13306	14498	4633	12791	11478	5297	25026	9470	13024	9398	5101	18594	7814	13813	24966	9031	13382	16848	9256	13324	21869	12643	25700	9343	16555	8129	7206	17331	11520	7210	6659	13244	21907	11390	20583	10620	17303	8907	39743	7201	11459	9719	5327	11218	12285	8834	40187	5808
Got2	12990	12194	10132	12781	11959	13987	15480	13960	17192	7693	12218	12365	6513	25835	8795	11446	9969	5095	20179	7532	13205	25024	8799	11526	15471	7936	11853	21800	11074	23942	8492	15420	7569	5698	15612	12337	5978	5849	11287	19430	9078	18793	8872	18902	10303	39750	6752	21374	9889	4727	10679	13693	7966	38717	6160
Fibcd1	3687	999	4691	1031	672	1655	3272	5381	1378	677	870	790	395	1396	508	752	553	624	1706	426	1067	1510	539	771	915	462	715	1308	679	1589	437	1382	240	356	489	544	182	260	389	920	283	776	271	23149	11766	23177	4952	29166	7977	4595	6023	13973	6508	33523	6626
