Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Chst2	6920.861830089753	-0.5178014371510655	0.10503439834617825	6.245917738276653e-7	3.462627609385878e-6	TRUE
Adam3	20.699193790055073	-0.5178186654799299	0.5438289669085264	0.2376374832705159	0.3464076418494673	FALSE
5730420D15Rik	3.908084390538388	-0.517938843535853	0.3355818174460094	0.08963249880258933	0.15573267335814614	FALSE
Arl4c	2470.4156680115093	-0.5180967141551525	0.07453876899000174	2.9995416227687692e-12	3.2160327560360307e-11	TRUE
Gm11532	8.552444607401727	-0.5181890286867924	0.4455539632815397	0.1794068115461602	0.27605978476715043	FALSE
Ces2a	0.20835573367928717	-0.5182312644543896	0.8889028756908397	0.47521112200069265	0.5910364712076915	FALSE
Acot3	103.7732816725876	-0.5182779990627687	0.34594933417292123	0.10322877503017551	0.1752428945328444	FALSE
Rnh1	1874.5211329261238	-0.518397598481129	0.08172403801735031	1.8476336265149738e-10	1.623329466408876e-9	TRUE
Xrn1	2766.5652826613964	-0.518611526056492	0.11403358078456079	4.13778782496919e-6	1.9874760495172156e-5	TRUE
Cenpp	53.88982334165423	-0.5186631700223719	0.1257321014885336	2.99940408499643e-5	1.2388246614088055e-4	TRUE
Primpol	276.7048106676837	-0.5187269868990665	0.16481011616548638	0.0013634357122831212	0.003976027170780431	TRUE
Tmem232	30.50712271543448	-0.5187496997249358	0.3355093397425549	0.09416956122359882	0.16227953082720456	FALSE
Lhx1	16.606208680283626	-0.5187549534503059	0.5182234948442925	0.2235162391512778	0.32978284631703164	FALSE
Alg5	632.0373570032513	-0.5187600451564444	0.06301293882348373	1.4961037814690535e-16	2.294974414780654e-15	TRUE
Or52e7	32.55412570935119	-0.5191070727329424	0.24610003563633034	0.027835027675041448	0.05760906736044326	FALSE
Irf5	346.5284825007518	-0.5191085745899097	0.22423778157013963	0.01653647784408331	0.0367441123518403	TRUE
1700029F12Rik	2.458938330973647	-0.5192157896040632	0.34726944572155005	0.09727578307493392	0.16675939111066257	FALSE
Gm32391	55.982352440919584	-0.5193348746767515	0.1616630941580462	0.0010594560226211177	0.0031807627962750747	TRUE
Rad51ap2	37.04533232708499	-0.5196097110635866	0.3022913581257872	0.06679916143176581	0.12178644046259766	FALSE
Gm22786	0.374305197531466	-0.5198577450099607	0.7498541592109351	0.3539881764858773	0.4731576999379098	FALSE
Prss16	16.030505945525107	-0.5202251697173904	0.5122765277901329	0.21987672420275692	0.32553406520016026	FALSE
Gm32014	36.81006944126862	-0.52022682912967	0.14168065312028005	1.950872245487611e-4	6.854005804124826e-4	TRUE
Zfp300	121.09995648000162	-0.5203409515052956	0.10480554873547394	5.644348543178563e-7	3.1562503740706277e-6	TRUE
Gm24494	10.517441643435644	-0.5203896730185584	0.16378665936448997	0.0011474109192482309	0.0034144094038778407	TRUE
Lbr	853.1324014380776	-0.5205193684816966	0.1791525540506854	0.002972829511707874	0.008001727306516129	TRUE
Cybc1	1100.402359705811	-0.5205707756620089	0.05892465895126303	8.006086321911226e-19	1.4079239030276906e-17	TRUE
Atp1b2	20079.53792128308	-0.5207569597526384	0.13317940356055138	6.364254931915508e-5	2.46238650381515e-4	TRUE
Rpl39	3721.6931974237355	-0.5211209815539358	0.10596736545625661	7.181267902195165e-7	3.942451476575901e-6	TRUE
Iqcf5	2.9132243952506247	-0.5212954414512876	0.3932736526862081	0.1331894629700676	0.21683795367434552	FALSE
Fkbp15	2161.9869510534336	-0.5214459968256496	0.037390301770011486	2.7478268458640724e-44	1.1001051450285595e-42	TRUE
Oxct2a	0.3963548656451201	-0.5217874001386696	0.7017275615028348	0.3463660811299457	0.4656433741315893	FALSE
Nsa2	2256.48756979327	-0.5218636287276763	0.08370376315226004	3.701945705251757e-10	3.150770223316422e-9	TRUE
Tspan1	9.776030769293753	-0.5218884980318762	0.46395899982733885	0.18843595080709435	0.28700733687852886	FALSE
Igdcc4	2871.86372946801	-0.522664525637782	0.1634668456593959	0.0010315719843190772	0.0031069621723255653	TRUE
Fam81a	5347.25229395469	-0.5229516314523759	0.1956569706884274	0.005970925945721735	0.014902565254161244	TRUE
Sparc	15641.382101425048	-0.5230425236653938	0.2611110286898956	0.03223167082575557	0.06534893842556891	FALSE
Retnlg	6.711588648599123	-0.523199350006709	0.4186701510422411	0.15643388013074977	0.2471333529246715	FALSE
Ces1f	5.443060298674632	-0.5234430631903116	0.33181993202530785	0.08669928519302834	0.15128824263203863	FALSE
Mis18a	225.785115637613	-0.5234875795592727	0.09153391958564742	8.828379723484187e-9	6.3344395982292e-8	TRUE
Gm35021	30.224312094772493	-0.52366687944734	0.12876547452050174	3.785933667493068e-5	1.5328381246547157e-4	TRUE
Anxa11	1104.7067092655363	-0.5236922011671017	0.2902292383708308	0.055362189939849704	0.10373232502213976	FALSE
Clcn7	3070.745996186597	-0.523992045184855	0.060362878381579645	3.3878390464934796e-18	5.756012465750397e-17	TRUE
